商品名称,商品价格,评论数,店铺名,其它信息
Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,5999.00,59万+条评价,Apple产品京东自营旗舰店,自营新品赠
京品手机
荣耀20 李现同款 4800万超广角AI四摄 3200W美颜自拍 麒麟Kirin980全网通版8GB+128GB 幻夜黑 全面屏,2299.00,54万+条评价,荣耀京东自营旗舰店,自营新品赠
荣耀9X 麒麟810 4000mAh超强续航 4800万超清夜拍 6.59英寸升降全面屏 全网通4GB+64GB 魅海蓝,1289.00,62万+条评价,荣耀京东自营旗舰店,自营新品赠
华为 HUAWEI nova 5z 麒麟810芯片 4800万AI四摄 3200万人像超级夜景 6GB+64GB 幻夜黑 全网通双卡双待,1599.00,5.4万+条评价,华为京东自营官方旗舰店,自营新品赠
荣耀V20 游戏手机 麒麟980芯片 魅眼全视屏 4800万深感相机 6GB+128GB 幻夜黑 移动联通电信4G,1799.00,68万+条评价,荣耀京东自营旗舰店,自营新品赠
华为 HUAWEI Mate 30 Pro 麒麟990旗舰芯片OLED环幕屏双4000万徕卡电影四摄8GB+128GB星河银4G全网通,5799.00,11万+条评价,华为京东自营官方旗舰店,自营新品赠
【新品抢购】Redmi 8A 5000mAh 骁龙八核处理器 AI人脸解锁 4GB+64GB 深海蓝 游戏老人 小米 红米,699.00,8.3万+条评价,小米京东自营旗舰店,自营新品赠
荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+64GB 渐变蓝 移动联通电信4G全面屏,1199.00,60万+条评价,荣耀京东自营旗舰店,自营新品赠
【超级爆品】荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏,899.00,115万+条评价,荣耀京东自营旗舰店,自营新品赠
荣耀20S 李现同款 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽白,1589.00,10万+条评价,荣耀京东自营旗舰店,自营新品赠
Apple iPhone XS Max (A2104) 256GB 深空灰色 移动联通电信4G手机 双卡双待,8999.00,97万+条评价,Apple产品京东自营旗舰店,自营新品赠
华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB翡冷翠全网通双4G,1449.00,10万+条评价,华为京东自营官方旗舰店,自营新品赠
Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色 移动联通电信4G手机 双卡双待,10899.00,10万+条评价,Apple产品京东自营旗舰店,自营新品赠
小米CC9e 索尼4800万旗舰相机 3200万美颜自拍 4030mAh 屏幕指纹 白色恋人 6GB+64GB 游戏智能拍照,999.00,12万+条评价,小米京东自营旗舰店,自营新品赠
Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G手机 双卡双待,9999.00,11万+条评价,Apple产品京东自营旗舰店,自营新品赠
京品手机
Redmi K20Pro 骁龙855 索尼4800万超广角三摄 AMOLED弹出式全面屏 8GB+256GB 冰川蓝 游戏智能 小米 红米,2699.00,52万+条评价,小米京东自营旗舰店,自营新品赠
京品手机
华为 HUAWEI nova 4e 3200万立体美颜AI超广角三摄珍珠屏6GB+128GB雀翎蓝全网通版双4G,1599.00,22万+条评价,华为京东自营官方旗舰店,自营新品赠
华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB亮黑色全网通双4G,3988.00,56万+条评价,华为京东自营官方旗舰店,自营新品赠
Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 4GB+64GB 梦幻蓝 游戏 小米 红米,999.00,25万+条评价,小米京东自营旗舰店,自营新品赠
京品手机
Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待,4899.00,204万+条评价,Apple产品京东自营旗舰店,自营新品赠
OPPO Reno Ace 8GB+256GB 高达定制版 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 4G智能游戏,3599.00,5.3万+条评价,OPPO京东自营官方旗舰店,自营新品赠
京品手机
vivo iQOO 6GB+128GB 熔岩橙 高通骁龙855手机 4000mAh大电池 全面屏智能拍照游戏 全网通4G,2098.00,33万+条评价,vivo京东自营官方旗舰店,自营新品赠
一加 OnePlus 7T 90Hz流体屏 骁龙855Plus旗舰 4800万超广角三摄  8GB+256GB 冰际蓝 游戏,3199.00,4万+条评价,一加手机京东自营官方旗舰店,自营新品赠
华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB绮境森林全网通双4G,2699.00,27万+条评价,华为京东自营官方旗舰店,自营新品赠
vivo Z5 6GB+128GB 全息幻彩 4800万超广角AI三摄手机 22.5W快充 4500mAh大电池 全网通4G,1698.00,13万+条评价,vivo京东自营官方旗舰店,自营新品赠
华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,529.00,32万+条评价,华为京东自营官方旗舰店,自营新品赠
荣耀20 PRO 李现同款 4800万全焦段AI四摄 双光学防抖 麒麟980 全网通4G 8GB+128GB 冰岛幻境 拍照,2689.00,15万+条评价,荣耀京东自营旗舰店,自营新品赠
京品手机
【超级爆品】一加 OnePlus 7 Pro 2K+90Hz 流体屏 骁龙855旗舰 4800万超广角三摄 8GB+256GB 星雾蓝 全面屏拍照游戏,3999.00,33万+条评价,一加手机京东自营官方旗舰店,自营新品赠
